Date,Text
7/22/19 23:22,b'@realDonaldTrump Zero new miles of border wall built\n0\nMexico has paid for 0% of the wall\n0\nTrump = 0\n0'
,
7/22/19 23:22,"b""@TheJuanWilliams @realDonaldTrump @thehill You are so obsessed with White people. Why don't you get over it."""
,
7/22/19 23:22,"b'@realDonaldTrump Fake president equals destruction of North American values , hope and prosperity. \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a\xf0\x9f\x87\xba\xf0\x9f\x87\xb8'"
,
7/22/19 23:22,"b""@realDonaldTrump So you're ginally admitting you're an enemy of the people?"""
,
7/22/19 23:22,b'@maggiejuang1 @realDonaldTrump Still a joke bro.'
,
7/22/19 23:22,b'@GeigerNews @Trumpgot2go @realDonaldTrump One of these men is CRAZY!\nThe other one is Charles Manson. https://t.co/axGPIrC44E'
,
7/22/19 23:22,b'@realDonaldTrump Soo this trucking business u think will go up'
,
7/22/19 23:22,b'@realDonaldTrump They never will but you need to reel in the media that deliberately spreads false narrative to hur\xe2\x80\xa6 https://t.co/lBRFxMcEle'
,
7/22/19 23:22,"b'@qanon76 @realDonaldTrump We follow Q, know the truth.'"
,
7/22/19 23:22,b'@realDonaldTrump We need those millions deported as promised a few weeks ago.  What is causing the delay?  People a\xe2\x80\xa6 https://t.co/zlDpdrMPNE'
,
7/22/19 23:22,b'@IJefTomI @GOPChairwoman @realDonaldTrump She isn\xe2\x80\x99t the brightest bulb in the pack. If Mueller found Trump so innoc\xe2\x80\xa6 https://t.co/CeWmkEJxpD'
,
7/22/19 23:22,b'@Saintedanon @paulacblades001 @Nasty_1__ @Adbb037 @JuliansRum @Cordicon @verndog68 @voeljegoed @Cindy00086290\xe2\x80\xa6 https://t.co/D0ksljT8NT'
,
7/22/19 23:22,b'@kimguilfoyle @DonaldJTrumpJr @realDonaldTrump Racists have a lot of $$$!'
,
7/22/19 23:22,"b'@NoMoreNeoConWar @Marlene60019568 @RKJ65 @mylastsoberduck @douglasmercer33 @WhiteHouse @realDonaldTrump Dear, you ARE the cartoon.'"
,
7/22/19 23:22,b'@realDonaldTrump Replacing barriers that were already there is not putting up new as you refer to it.  You want you\xe2\x80\xa6 https://t.co/RQibAmPBc1'
,
7/22/19 23:22,b'@realDonaldTrump Did Mexico pay for it?  Nope. https://t.co/ipkksHNf9p'
,
7/22/19 23:22,b'@realDonaldTrump We see it...we know...they are only convincing the WALKING BRAINDEAD.'
,
7/22/19 23:22,"b""@realDonaldTrump Reposting a state-run media broadcast doesn't make it news."""
,
7/22/19 23:22,"b'@realDonaldTrump 90 Pounds of Cocaine discovered on a boat owned by the family of Mitch McConnell, the Majority Leader of the U.S. Senate'"
,
7/22/19 23:22,"b""@realDonaldTrump I can't STAND those 4 witches. HOW anyone that OPENLY HATES AMERICA and just as openly SUPPORTS TE\xe2\x80\xa6 https://t.co/omDj7nuXyc"""
,
7/22/19 23:22,"b""@TheJuanWilliams @realDonaldTrump @thehill Hey Juan, go back to the homeland if you're not content here. https://t.co/vRkmdSD0N1"""
,
7/22/19 23:22,"b""@RNCastaldo @realDonaldTrump I'm not with him, I stand with President Obama"""
,
7/22/19 23:22,"b'@realDonaldTrump First Israel steals Palestinian land, then they build a wall on the stolen land to separate Palest\xe2\x80\xa6 https://t.co/JEzwwn5l33'"
,
7/22/19 23:22,b'@Moomarion @KapeciaResists @realDonaldTrump The nightmare is over after 8 yrs. of terrifying horror'
,
7/22/19 23:22,"b'@realDonaldTrump Ever tried doing your job instead of watching TV and tweeting all day, Comrade? https://t.co/XgUrNYzx7D'"
,
7/22/19 23:22,b'@realDonaldTrump This from Fox News!\n\nhttps://t.co/1QWTG7Ef1l'
,
7/22/19 23:22,b'@realDonaldTrump Bull! Doubt that even true.'
,
7/22/19 23:22,b'@realDonaldTrump That is because you aren\xe2\x80\x99t.'
,
7/22/19 23:22,b'@realDonaldTrump Do not be surprised if he rolls over in his coffin \xe2\x9a\xb0\xef\xb8\x8f'
,
7/22/19 23:22,b'@jack_veritas @realDonaldTrump You just have to be smart enough to know how to use them. You put one of the ends with a hole into the cup.'
,
7/22/19 23:22,b'@TheJuanWilliams @realDonaldTrump @thehill You cannot be serious...'
,
7/22/19 23:22,"b'@SarahHuckabee @realDonaldTrump There is no wall being built that can be ""finished,"" Smokey Eye.'"
,
7/22/19 23:22,"b'#TrumpsEconomy 2019\n@realDonaldTrump \n\nWhen are you going to bankrupt America? Another failed #Trump business.\n\n""fe\xe2\x80\xa6 https://t.co/RPYKG7ORAe'"
,
7/22/19 23:22,b'@realDonaldTrump Fox News is Romper Room for racists'
,
7/22/19 23:22,"b""@TheJuanWilliams @realDonaldTrump @thehill Identity politics, victimhood, race baiting. Juan that's your game, not Trump and his supporters."""
,
7/22/19 23:22,b'@realDonaldTrump You must be on the shitter again. https://t.co/h2LFzfiNlB'
,
7/22/19 23:22,b'@MatthewJshow @realDonaldTrump Hi Matthew! https://t.co/sFLBYCy4sT'
,
7/22/19 23:22,b'@realDonaldTrump You don\xe2\x80\x99t have respect'
,
7/22/19 23:22,b'@realDonaldTrump Did we get that check from Mexico yet for the wall?'
,
